objid,ra,dec,petroMag_i,petroMag_z,petroMag_u,petroMag_g,petroMag_r,ur,p_cs,p_el
1237674648850465019,169.790783024969,-1.08406375280783,16.99449,16.70977,20.64753,18.31632,17.39552,3.252007,0.119999997317791,0.879999995231628
1237674648850465029,169.812036742216,-1.08451468005981,16.96848,16.69916,19.64859,18.08159,17.28476,2.363829,0.0710000023245811,0.810000002384186
1237674648850530455,169.842899520168,-1.05258531706228,16.23568,15.93587,20.08802,17.68513,16.64813,3.439888,0.0270000007003546,0.675999999046326
1237674648850530457,169.843749301667,-1.05168373687905,17.27062,18.16126,30.01872,19.02762,17.52102,12.4977,0,0.691999971866608
1237674648850595956,169.982203962585,-1.04972492123255,15.76503,15.50706,18.95383,16.99235,16.15073,2.803095,0.116999998688698,0.832000017166138
1237674648850530473,169.856827935172,-1.07491450733041,18.32902,18.16809,20.25937,19.05328,18.61083,1.64854,0.0799999982118607,0.680000007152557
1237674648850530475,169.857940846117,-1.13565337711195,17.17327,16.89113,20.03447,18.26473,17.51784,2.516632,0.111000001430511,0.777999997138977
1237674648850530484,169.866642735477,-1.06089699681871,16.42995,16.1348,19.19978,17.64143,16.86071,2.339069,0.549000024795532,0.379999995231628
1237674648850596045,169.971821421486,-1.15028610500387,16.99985,16.63887,19.34516,17.96747,17.31292,2.032246,0.273000001907349,0.666999995708466
1237674648850595854,170.000284006297,-1.1199853023241,16.1564,16.04518,17.36769,16.53655,16.28782,1.07987,0.0430000014603138,0.391000002622604
1237674648850595999,170.048613505467,-1.0639314776285,17.07755,16.95754,19.10277,17.77465,17.35076,1.752016,0.293000012636185,0.517000019550323
1237674648850596030,170.115147853879,-1.08095605344804,17.17799,16.93305,19.30038,18.02462,17.4617,1.838682,0.367000013589859,0.43299999833107
1237674648850661532,170.134830745939,-1.18347719518306,17.37727,16.99689,21.42574,18.98652,17.87161,3.554131,0.0390000008046627,0.882000029087067
1237674648850661455,170.157099790347,-1.04928839336974,16.29707,16.15522,18.2166,17.13009,16.64319,1.573414,0.25900000333786,0.666999995708466
1237674648850661510,170.255363680279,-1.09011649262671,17.52555,17.34293,19.48158,18.2443,17.85186,1.629715,0.206000000238419,0.602999985218048
1237674648850727103,170.403064317423,-1.10598152311487,16.91223,16.66512,19.23576,17.93863,17.27499,1.960762,0.153999999165535,0.744000017642975
1237674648850792675,170.431517358107,-1.19849071555363,15.92175,15.5486,19.17233,17.34344,16.40123,2.771101,0.537000000476837,0.444000005722046
1237674648850792711,170.521294686536,-1.1848631739323,17.1158,16.72105,20.57012,18.53298,17.59513,2.974985,0.333000004291534,0.611000001430511
1237674648850923796,170.805579289012,-1.18213820543092,16.45792,16.10449,19.97785,17.81648,16.97228,3.005568,0.954999983310699,0.0419999994337559
1237674648850989095,170.943579668159,-1.10487932983885,12.42825,12.49111,31.99422,14.12127,12.84101,19.15321,0.897000014781952,0.034000001847744
